Post ID,Post Message,Type,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Average time video viewed,Lifetime Video length
1277547548992987_1741796732568064,"Congratulations to the winners of the first online contest this semester! All the entries we received showcased innovation, creativity & amazing gameplay but top 3 winners had to be chosen based on the votes of our general members & judges. The competition was close & all projects were amazing! Those who couldn't make it this time should keep on making more games! Winners will receive certificates after the break & their games will also be showcased on our youtube channel very soon! Enjoy the break while you have it because AUST IDC is coming with more stunning stuff in the following weeks!",Photo,2018-06-22 07:58:04,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1731769263570811,May your Eid celebrations be as charming as the last minute Ronaldo free-kick  :D,Video,2018-06-15 13:43:23,1556,3125,148,98,158,0,2119,1001,108,72,93,389,500,5035,24355
1277547548992987_1731343926946678,"Wishing everyone a very happy Eid al-Fitr. As we celebrate, let us reflect upon what it means to sacrifice & give to those in need.",Photo,2018-06-15 06:57:45,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1727479250666479,What's trending this eid? 🤔,Photo,2018-06-12 11:33:50,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1725257400888664,"Hey IDCians! We are here with our first online competition of the season, Game Showcasing contest! Find all the information on the pic attached.  Where it's happening: *AUST IDC facebook group* : goo.gl/yjDbN1  *Registration Link*: goo.gl/efJRdw  **Judging Criteria: 60% by likes on video posted by us + 40% by judges**  Rules: Submit the google form once you are ready with the shareable google drive link of your gameplay video. Team members may consist of 1-4 max.  All general members of AUST IDC will be judging your videos through the like button.  *Demo of a gameplay video*: goo.gl/SUQXcL  Submission Deadline: Wednesday, 13-06-2018 Platform: PC,Android,Web based game. Can be anything! So, what are you waiting for? Get ready to share your very own game project even if you know it sucks! And even if you don't have any projects in hand right now, get motivated to make an awesome game this mid break. Why? Because its fun!",Photo,2018-06-10 08:50:56,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1724205220993882,"Attention IDC'ians Tired of holidays?Need a platform to showcase your talents? We are bringing you a series of online based competitions. First up : Game showcasing. Make a video of your developed game in no more than 4 minutes and add a description with it. Use any free video capture software online. Here is a demonstration of how to make your video featuring our Excom member Shamit Ahmed, Sofia Neherin & their friends Salman Arefin Rayen, Shammy Shanta, Masud Rana with their game ""Amar Bondhu Rashed"". Video editing credit goes to our very own Saif Mugdho. Rules,regulations,deadlines,prizes,procedures for video will be uploaded in the group tomorrow.The competition will start and end this week.So get ready to showcase your game no matter how much you think it sucks!",Video,2018-06-09 11:05:08,1095,1992,245,223,418,0,1135,583,184,55,66,474,682,19921,158706
1277547548992987_1722537117827359,"*Drumroll please* AUST Innovation and Design Club is coming up with its first ever national event in association with segments from all departments of AUST. Presenting to you MindSparks'18. The segments will primarily include: 1.Project showcasing. 2.Roborace 3.Solidworks Competition 4. Truss Challenge 5. Engineering Olympiad  6. IT Based Business Case Competition. Vacations are the perfect time to get down with your ideas, teams and bring the best out of you. The stakes are high this time. Are you ready?  Event details and deadlines are to be declared soon. Meanwhile, do us a favour and like our new page where you will get all the event updates : https://www.facebook.com/mindsparksidc",Video,2018-06-08 02:52:21,3975,7985,630,575,913,1,2663,1330,310,377,445,1048,1472,6365,19317
1277547548992987_1700706546677083,Ramadan Mubarak From AUST Innovation and Design Club :),Photo,2018-05-17 11:02:29,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1699792710101800,AUST IDC DAY SPRING'18,Photo,2018-05-16 11:17:52,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
1277547548992987_1699755953438809,"Presenting you AUST Innovation and Design Club(IDC) Executive Committee and Sub Committee(Under supervision of vp,gs and js's) for Spring'18. The family just got bigger! Looking forward to an exciting semester with lot more surprises to come!",Photo,2018-05-16 10:19:41,2,2,1,1,1,0,2,2,1,0,0,0,0,0,0
1277547548992987_1684358144978590,Get registered ASAP people! #AUSTIDC,Photo,2018-04-30 11:07:33,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1681009238646814,"Due to huge requests and keeping in mind that next week will be filled with public holidays,we've come up with an easier solution for the AUSTians who want to be our club members.Although there will be booth at the plaza till monday,you can also complete membership registration online,sitting at your home.The last date for online registration and fee payment is 30th april.You can complete your payment via bkash,the steps are mentioned in the second picture.You must complete your payment and send the message within monday to complete your membership registration process.  Benefits:  1. Be a member of the largest club community and the only tech and biz club of AUST. 2. Enjoy exclusive discounts on every workshop organised by IDC. 3. Get the oppurtunity to be a part of the club events. 4.The coolest idc card you see everyone wearing around. So,what are you waiting for? Join the league of elites.  Registration link : https://docs.google.com/forms/d/e/1FAIpQLScSnZx226Oxi3jG_xjY7xZEd2tTuhZIm-hN-f9UElUg7XzLqw/viewform",Photo,2018-04-27 02:31:27,14,14,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_1677450449002693,"People of AUST,the moment you have been waiting for,the only tech and biz club of AUST is recruiting general members! What are you waiting for?Become a general member and immerse in the fun experience the members always get to enjoy.Interactive workshops,seminars,competitions from all departments of AUST awaits you!Become a member of the biggest club of AUST.Find the booth at the plaza from 25th to 28th April.AUSTIDC awaits you. #JoinIDC #JoinTheLeagueOfElites",Video,2018-04-23 09:55:28,2542,5672,342,263,364,0,3227,1408,218,133,158,138,163,2825,1600
1277547548992987_1670588499688888,"Hello AUSTIANS! We are almost at the end of our vacations.A new semester,a new chapter awaits. AUSTIDC works solely to provide platforms for its members  for extracurricular nourishment.Keeping that in mind,we want to hear from you!Let us know about which workshops ,seminars or even events you want to see from the club. You can also suggest us with teachers or instructors best suited for any workshops. We will try our level best to manage the most popular demanded workshops and seminars in this semester.Also if you want to collaborate with the club in organising any workshop, let us know too.Your opinions matter. :) Comment in the post,or message us. #AUSTIDC #WhereMindsCollide",Photo,2018-04-16 09:58:41,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1668179886596416,￰শুভ নববর্ষ  ১৪২৫ !,Photo,2018-04-13 22:59:22,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1662553030492435,Join the league of elites. Join AUSTIDC. *Selected candidates on the basis of CV will be called for an interview.,Photo,2018-04-08 09:50:02,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1661525073928564,Something's cooking 😉 ! We will be introducing our website soon along with blogs sections.Suggest us any features you want to see and stay tuned.,Photo,2018-04-07 10:11:19,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1648295178584887,আমার স্বাধীনতা আমার অহংকার।  অস্ট ইনোভেশন অ্যান্ড ডিজাইন ক্লাব এর পক্ষ থেকে সবাইকে মহান স্বাধীনতা দিবসের শুভেচ্ছা।,Video,2018-03-25 11:11:42,2648,4264,162,107,149,0,2718,1483,130,36,41,506,589,4825,83915
1277547548992987_1612700805477658,"সকল  ভাষাশহীদদের  প্রতি  শ্রদ্ধা জ্ঞাপন  করে,  আহ্ছানউল্লা বিজ্ঞান  ও প্রযুক্তি বিশ্ববিদ্যালয় ইনোভেশন ও  ডিজাইন ক্লাব এর পক্ষ  থেকে সবাইকে আন্তর্জাতিক  মাতৃভাষা  দিবসের  শুভেচ্ছা ❤",Photo,2018-02-20 11:11:54,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1584658501615222,"Welcoming you to the biggest technological event organised by AUST Innovation and Design Club,Adex Engenius'18. #AdexEngenius18 #GetReadyToCreate  Event link :  https://www.facebook.com/events/308795506191026/",Link,2018-01-23 08:41:43,1036,1483,70,58,73,0,1337,923,68,0,0,133,149,0,80316
1277547548992987_1583510458396693,"Dear roborace enthusiasts,we've seen your line following skills on innoventure.Are you ready to take it to the next level?Are you ready for the national stages?Are you ready for Engenius 18? #Engenius18 #GetReadyToCreate",Video,2018-01-22 06:16:19,1980,2986,238,194,277,0,2319,1493,205,58,64,601,659,13349,75973
1277547548992987_1578520518895687,"Seminar on Robotics and Artificial Intelligence""",Photo,2018-01-17 06:46:33,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1572815022799570,Poster Maestros,Photo,2018-01-11 10:39:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277547548992987_1572814586132947,Poster Maestros,Photo,2018-01-11 10:39:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277547548992987_1572790752801997,Poster Maestros,Photo,2018-01-11 10:20:39,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1569503359797403,The biggest prize pool in AUST's history ladies and gentleman. #GetReadyToCreate #Engenius'18,Photo,2018-01-08 09:51:37,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1564914663589606,"Don Sumdany sends a message to AUSTIANS welcoming us to Rise Above All 2018 which is partnered by AUST Innovation and Design Club.We expect a huge amount of AUSTIANS in the biggest public speaking event of the year.You know the guests,you know the venue.What are you waiting for?Grab your tickets from our booth at the plaza from tommorrow at discounted prices or you can contact any of IDC executive committee members.  Event link :  https://www.facebook.com/events/2063123473916774/?ti=cl #RAA2018",Video,2018-01-04 22:24:49,3887,9231,348,296,490,0,4572,1700,243,78,84,721,885,8296,75764
1277547548992987_1562771390470600,"Poster Maestros commenced with a purpose to seek out the most talented individuals who have infused remarkable ingeniosity with meticulous craftsmanship. Ladies and gentlemen, we present to you the very best teams that have managed to hurdle all boundaries to take place in these finals. Finalists, I am sure you will provide nothing short of your finest works. Best of luck!  See you all in the final round at 11th January,where the top 20 teams will compete for inter-departmental glory!.  **this is the edited list...and also thank you all for completing your payment process in time!!  :)",Photo,2018-01-03 09:37:45,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1560107000737039,AUST Innovation and Design club proudly brings you Engenius 18' in collaboration with AUST EEE Society. This year's event is going to be the biggest tech competition ever hosted in AUST's history. Follow the event page and stay tuned.  https://www.facebook.com/events/308795506191026/?active_tab=about,Link,2018-01-01 10:58:33,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1277547548992987_1559714227442983,"As we step into a new year, we thought we'd like to rewind 2017 all over again, bring back the experiences of AUST'ians in AUSTIDC in a single showreel.Thank you for making our first year as a club excels beyond our wildest dreams.We hope you would always stay with us as a part of this Innovation and Design journey and keep acquiring new ideas, innovate and take AUST to the next level. Happy new year 2018. Regards, AUST IDC family. 😎",Video,2018-01-01 04:20:56,2294,3715,242,191,302,0,2238,1368,183,48,55,550,672,15184,132073
1277547548992987_1558545057559900,"2017. A year in which AUST Innovation and Design Club came to life.A club that ushered a new era in AUST.Since the origin of the club,the club executives have been trying their level best to bring the students of all the departments of AUST  together to learn something new,to learn something out of the box that would help them excel and compete with the very best in Bangladesh.Thank you dear fellow juniors,seniors,teachers and alumnis for being a huge shoulder whenever the club needed you the most.AUST IDC proudly represents AUST and has always been trying to uphold our excellence in extracurriculars to the people of the country and will continue to do so.2017 has been a blast, We hope we can come with with new and exciting seminars,workshops and events for the people of AUST in 2018.We would like to express our gratitude to the seniors and teachers who have sacrified their time in bringing this club to life.This is a club,we all wanted since 1995.We hope that you keep supporting us in the years to come and help make IDC the best club in the country.  Wishing you a happy new year <3   #AUSTIDC #Wheremindscollide",Photo,2017-12-31 09:58:18,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1992163967531338,"ত্রিশ লক্ষ শহীদের আত্মত্যাগের বিনিময়ে অর্জিত আজকের এই স্বাধীন বাংলাদেশ। গভীর শ্রদ্ধার সাথে স্মরণ করি মুক্তিযুদ্ধে আত্মোৎসর্গকারী সকল বয়স, ধর্ম, শ্রেণী ও পেশার মানুষকে।",Photo,2018-12-15 10:41:06,6,6,0,0,0,0,4,4,0,0,0,0,0,0,0
1277547548992987_1975066329241102,AUST Innovation and Design Club updated their status.,Status,2018-12-03 08:57:30,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1961040033977065,"BUET Career Club(BCC) is going to arrange a seminar titled "" Pursue Your Passion: Higher Studies in Abroad on 7th December 2018, at Auditorium Complex, BUET. The seminar will provide opportunities for the students to know more about scholarships, research facilities along with career development opportunities in the USA, Canada, Australia & Germany.   Aust Innovation and Design Club is glad to be a club partner for this event.We will be sharing updates on this seminar in our main group.  https://www.facebook.com/events/296572070962625/298146357471863",Link,2018-11-23 03:50:03,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1958292730918462,Here's the selected list for lfr workshop.,Photo,2018-11-21 03:26:16,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1947772121970523,Website has been officially launched for MindSparks'18! Do check out the website to know all about the event in one place.  Website link  : https://mindsparks-austidc.com/,Photo,2018-11-13 06:41:42,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0
1277547548992987_1936137606467308,Registration has officially begun!   https://www.facebook.com/mindsparksidc/photos/gm.526772604457813/259577731345030/?type=3&theater,Status,2018-11-04 08:32:40,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1930110970403305,Do you have the spark in you ? #MindSparks18 #IdeationIntoExistence,Status,2018-10-31 08:42:39,2,2,0,0,0,0,2,2,0,5,5,68,0,0,0
1277547548992987_1902688573145545,Whaatttttt????!!!!!  Can you believe it!  The biggest prizepool in the history of AUST by a mile!!! Get ready for the biggest event in our campus people.  #Mindsparks18 #IdeationIntoExistence <3,Status,2018-10-11 09:19:17,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1901558759925193,"What's up IDC'ans! You must be getting really bored in this break!We have just the news that might cheer you up a bit.Attached below is a link to the most elite form we have ever posted,the junior executive application form for volunteering in MindSparks'18!!!! This is your oppurtunity to work with the IDC excom in organising the first international event of AUST! Yes, we invite you to be a part of history!! There will be primary selections based on your form details and we will call you for further procedures. Selected executives will be then assigned to a team under any IDC excom and get to work with the whole team in organising this event.What are you waiting for?  Terms and Conditions:  1. Must be an AUST IDC member. 2. Must be between semesters( 1.1- 3.1)  3. Must be able to manage time when called upon between October 20th to November 13th.  Besides the whole event experience for the first time the executives will get : 1. Certificates of appreciation with their names from AUST and IIT ( International Certificates.Damn!)  2. Tshirts 3.Work with IDC excom and get insights on how the team has been working. 4. Executives with excellent performances will be called after the event for an interview to get a chance to be an AUST IDC excom!!!  *Registration closes in 13 th October 11.59 pm  https://drive.google.com/open?id=18MwsiWvSf9_DyPsrjLXVBch7gk6qSmDP1NuNDkjlyps",Link,2018-10-10 11:36:29,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1899539870127082,"We are delighted to announce that AUST  Innovation and Design Club,AUST has made an international collaboration with Cognizance, IIT Roorkeee,India for the events Mindsparks'18 and Cognizance'19. As part of the collaboration, winners of 3 segments(will be mentioned later) of Mindsparks'18 will be going to India to participate in Cognizance'19 held in march, all expenses paid for four days including accomodation and competition registration cost(except travelling cost to India) and all certificates to all winners and participants will be given by both AUST and Cognizance. This maybe the first time in the history of both countries that two national events merge on an international scale. We want to thank the whole IDC team for making this MoU possible!   For the participants of Mindsparks,this is big!  Get down with your projects,ideas and don't miss the opportunity. A massive prize money for the regional round here to be announced soon too.We request you to just wait a little more. Mindsparks'18 is going international ladies and  gentleman.   #Mindsparks'18 #Cognizance'19 #AUSTIDC #WhereMindsCollide",Photo,2018-10-09 00:28:08,102,109,0,0,0,0,17,16,0,0,0,0,0,0,0
1277547548992987_1888553291225740,Get ready everyone,Status,2018-09-30 07:56:48,0,0,0,0,0,0,0,0,0,40,40,159,0,0,0
1277547548992987_1839075532840183,Wishing everyone a very happy Eid al-Adha from AUST IDC Family!,Photo,2018-08-21 07:21:51,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_1811964528884617,"AUSTIANS united together,singing our national anthem in hopes of a better Bangladesh.",Video,2018-08-05 13:09:42,3690,5421,375,233,315,0,3475,2313,232,155,161,1305,1415,6487,33667
1277547548992987_1801581536589583,https://m.facebook.com/events/500770753726912?view=permalink&id=505878143216173,Photo,2018-07-30 07:25:13,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1277547548992987_1791818640899206,The wait is finally over! AUST IDC is here with an Inter University and College Technology Competition for the first time! Something HUGE is coming! Stay tuned for more info.,Status,2018-07-24 08:32:47,0,0,0,0,0,0,0,0,0,59,61,188,0,0,0
1277547548992987_1791580537589683,Hold your breath . Workshops are coming very soon !,SharedVideo,2018-07-24 05:41:53,338,379,94,72,82,0,345,303,93,0,0,241,255,0,20919
1277547548992987_1775708462510224,Glimpses from todays event!,Photo,2018-07-14 08:15:16,2,3,0,0,0,0,3,2,0,0,0,0,0,0,0
1277547548992987_377035746488142,May your Eid celebrations are as amazing as the Bangladesh cricket teams' first match.  Eid Mubarak everyone <3,Video,2019-06-04 11:59:46,3140,4761,287,158,242,0,3100,1895,190,298,350,654,806,4531,9310
1277547548992987_2257307844350281,Congrats to Bangladesh Cricket Team for winning their first match against South Africa. #ICC_world_cup_2019,Video,2019-06-02 11:36:40,3350,4751,286,82,101,0,3540,2392,223,118,133,118,133,3021,960
1277547548992987_2251227944958271,It's time for the ICC Cricket World Cup 2019.  Let the fight begin. All the best to all the teams  For the trophy🏆  #WC2019,Video,2019-05-30 06:20:36,2366,3501,264,185,300,0,2889,1920,224,338,354,681,763,6015,11375
